분류,제목,만료날짜,참여인원
안전/환경,"재난긴급생활비, 체크카드가 아닌 모바일 상품권이나 종이 상품권으로 지급해주십시오.",2020-04-28,634명
육아/교육,4/6 고등학교부터 순차적인 개학을 청원합니다.,2020-04-28,594명
기타,코로나 진단키트 이름에 '독도'와 '한국' 이란 두 단어가 꼭 같이 들어가게 해주세요.  'Dokdo is Korean Territory(DIKT or DKT)' 이런식으로요!,2020-04-28,"3,015명"
성장동력,쌍방향 온라인 수업 툴은 국내 업체여야 합니다.,2020-04-28,551명
기타,7세이하 아동들에게만 40만원씩 재난수당이 지급되는것은 형평성에 어긋난다고 생각됩니다.   전국민이 같이 이겨내고 있습니다.,2020-04-28,"2,270명"
육아/교육,부산****어린이집학대,2020-04-28,"1,186명"
인권/성평등,"미성년자 음란영상 유포 및 거래, 지인능욕, 신상정보 도용 등을 방조/외면하는 텀블러, 수사협조 진행 부탁드립니다.",2020-04-28,"2,616명"
경제민주화,"각 도, 시 자체에서 지역 공공배달앱을 운영해주세요!",2020-04-28,"3,157명"
기타,학교를 갈 수 있도록 조치를 취해주세요.,2020-04-28,381명
기타,재난기본소득 전국민에게 주세요!!,2020-04-28,"2,719명"
정치개혁,코로나19  긴급자금 지원 모두에게 공평하게 지원부탁드립니다ㆍ,2020-04-28,"1,517명"
문화/예술/체육/언론,학교 시간 강사들의 페이 선지급 요청,2020-04-28,684명
육아/교육,대학생들의 학비 반환을 도와주세요.,2020-04-28,"6,198명"
육아/교육,개학 후 초중고 수업은 EBS동영상으로 해야 합니다!!,2020-04-28,"1,223명"
보건복지,아파트 경비원  마스크 무상 지급,2020-04-28,374명
인권/성평등,디지털 성범죄 양형기준이 제대로 정립될 수 있도록 노력해주세요.,2020-04-28,"1,459명"
육아/교육,7세미만 아이들에게만 주는 코로나지원금 반대합니다.,2020-04-28,"1,339명"
문화/예술/체육/언론,자극적인 성인웹툰 광고 언론사 제한 요청,2020-04-28,763명
인권/성평등,“오늘 너 킬(KILL)한다”라며 술을 먹이고 제 딸을 합동 강간한 미성년자들을 고발합니다.,2020-04-28,"400,474명"
육아/교육,"9월 개학에 대해 진지하게 고려해 주시길, 간곡히 청원 드립니다.",2020-04-28,"2,130명"
육아/교육,청각장애학생의 학습권,2020-04-28,633명
육아/교육,학교개학  오전반 오후반으로 운영해 주세요,2020-04-28,256명
정치개혁,디지털성범죄 뿌리를 뽑아야 합니다,2020-04-28,901명
보건복지,코로나19로 인하여 지자체별로 너무 상이한 '기본재난소득' 중앙정부가 통일해주세요!!,2020-04-28,"1,309명"
인권/성평등,백화점근무시간요청,2020-04-28,315명
육아/교육,코로나로 수업 학기 연기,2020-04-28,449명
경제민주화,국민혈세로 사기업만 배불리는 조건없는 공적자금 투입 반대합니다,2020-04-28,341명
경제민주화,"코로나 19 위기극복 ""국민연금 저금리 대출 실시""",2020-04-28,494명
보건복지,금융지원해주실거면 공평하게 똑같이 해주세요,2020-04-28,434명
기타,인터넷중고거래 사기범강력처벌요청건,2020-04-28,582명
일자리,"코로나19 시국 관련 취업준비생, 입시준비생 위한 TOEIC(토익) 등 시험에 대한 유효기간 및 제출기한 연장 청원",2020-04-28,493명
기타,국민 기본소득 제안합니다. 꼭 읽어주세요~ ^^,2020-04-28,216명
육아/교육,만 8세이상 아이들에게도 지원 바랍니다,2020-04-28,"3,198명"
기타,긴급재난자금 전국민이 받을수 있게 해주세요,2020-04-28,"1,468명"
육아/교육,고3학생들을 위한 구제책을 마련해 주십시요,2020-04-28,"28,806명"
안전/환경,박사방 회원 중 여아살해모의한 공익근무요원 신상공개를 원합니다.,2020-04-28,"519,948명"
행정,자가격리를 어기고 제주도 4박5일 여행.미국유학생 강남구 **번 확진자 처벌해주세요,2020-04-26,"207,563명"
보건복지,병원 찿아다니며 제주여행한 강남#**번확진자의 신상공개와 처벌바랍니다.,2020-04-26,"19,749명"
기타,"50조원 특별금융지원 정책 일부,  소상공인.중소기업. 자영업자 등 4대보험료 사업주부담금 지원정책으로 사용해주길 청원합니다.",2020-04-26,"1,117명"
안전/환경,서울광장 동성애축제 반대합니다.,2020-04-26,"15,317명"
반려동물,개를 가축에서 제외에 동의한다는 농해수위 간사 박완주의원님!식용견은 어느나라의 개입니까!!??,2020-04-26,"4,208명"
기타,한국모욕유튜버j******* ****** 신상공개및 처벌해주세요,2020-04-26,"6,905명"
인권/성평등,N번방 담당 오덕식 판사의 권한 자격 박탈을 요청합니다,2020-04-26,"56,609명"
육아/교육,현 교육부의 갑질 행태에 사과 받기를 요청합니다.,2020-04-26,"7,959명"
기타,성폭력전담 판검사들을 처벌해 주세요.,2020-04-26,"4,669명"
인권/성평등,"N번방 사건에서 성범죄자 오덕식 판사를 자격박탈시키고, 여성 판사가 판결해 주십시오.",2020-04-26,"21,191명"
정치개혁,"김인겸 법원행정처 차장, 김오수 법무부 차관 파면하세요",2020-04-26,"11,830명"
인권/성평등,"N번방 담당판사 오덕식을 판사자리에 반대,자격박탈을 청원합니다.",2020-04-26,"466,900명"
안전/환경,충북혁신도시 임시검사시설 철회해주세요,2020-04-26,614명
육아/교육,유은혜 장관을 해임하여 주십시요,2020-04-26,"6,397명"
기타,대법원은 이재명 재판을 왜 미루는가,2020-04-26,"7,534명"
안전/환경,강남구 좀 제발 말려주세요. 강남역 한복판에 225억짜리 구멍을 파려고 합니다.,2020-04-26,"1,805명"
보건복지,중국을 포함한 미국 유럽 일본등 세계 모든 국가에 대한 전면 입국금지 제한을 내려주십시오.,2020-04-26,"12,204명"
육아/교육,대학교 등록금 반환/등록금 세부사항 공개를 요구합니다.,2020-04-26,"5,172명"
인권/성평등,"""n번방"" 가해자들 ""디지털 신용불량"" 제도 만들어 주세요",2020-04-26,"2,879명"
정치개혁,국회의원 월급 50% 기부각서 접수 운동,2020-04-26,"4,230명"
기타,문재인 대통령은 연봉을 국가에 반납하기 바랍니다.,2020-04-26,"2,488명"
보건복지,코로나19 정부지침 미준수로 발병시 치료비 구상권 청구,2020-04-26,"3,598명"
보건복지,예배로 인한 코로나19 확산 구상권은 대통령에게,2020-04-26,742명
문화/예술/체육/언론,코로나19로 인한 국가 위기!! 확산 방지를 위해 “서울퀴어문화축제” 서울광장사용 승인을 철회 요청합니다!!,2020-04-26,"63,964명"
보건복지,코로나19 많은 사람들이,2020-04-26,"1,505명"
인권/성평등,"국회 법사위 디지털성범죄 관련법 논의 중, 위원들의 성인지감수성 부족으로 인한 막말에 대하여 대국민사과와 진정성 있는 반성을 요합니다.",2020-04-26,"1,626명"
인권/성평등,무급휴업대상 주한미군 근로자들의 법정 휴업수당 지급을 보장 해 주세요,2020-04-26,"9,431명"
보건복지,수만명이 살고있는 동탄신도시 한복판에 있는 해외입국자 검사장 없애주세요.,2020-04-26,"1,497명"
기타,위조된 공정증서로 양돈농장을 강탈한 **산업의 만행을 멈춰주세요!,2020-04-26,385명
행정,코로나19관련 비우량기업 자금지원 규정 완화 및 재검토 부탁드립니다.,2020-04-26,410명
경제민주화,원하청 납품거래에서 발생하는 부당한  단가인하  강력한 법안 마련,2020-04-26,262명
보건복지,해외거주 형제자매에게도 마스크를 보낼수있게 해주세요,2020-04-26,676명
일자리,**자동차 대리점 비정규직,2020-04-26,498명
외교/통일/국방,외국인 출국도 막아버려 러시아에 묶인 유학생들 데려와주세요,2020-04-26,"1,981명"
인권/성평등,n번방을 비롯한 성범죄자가 감형,2020-04-26,"3,616명"
인권/성평등,'제 2의 n번방' 10대 남자 성착취 대화방 사건 철저한 수사 부탁드립니다.,2020-04-26,"5,123명"
보건복지,정부에게 손해배상 청구 합니다.,2020-04-26,"1,278명"
외교/통일/국방,8월 29일을 잊지말자,2020-04-26,412명
인권/성평등,n번방 사건을 망언한 유튜브 시**를 처벌해야 됩니다.,2020-04-26,"1,656명"
경제민주화,대주주 사재출연 없는 기업 구조조정의 원칙에 반대합니다.,2020-04-26,229명
안전/환경,외국인입국금지 시켜주세요,2020-04-26,"4,720명"
보건복지,해외 출입국 금지 요청 드립니다.,2020-04-26,"3,348명"
육아/교육,개학... 치료제 나올때 까지 미뤄 주세요.,2020-04-26,"3,419명"
인권/성평등,언론은 n번방 가해자에게 발언 기회를 주는 관행을 멈춰주십시오!,2020-04-26,"1,966명"
안전/환경,사기범죄자 해외 도피,2020-04-26,296명
보건복지,외국인들은 건강확인서 지참시 입국허용으로 자국민보호를 위한 최소한 노력이라도하십시요,2020-04-26,"1,777명"
보건복지,해외 입국자 입국 금지를 청원합니다,2020-04-26,"3,330명"
육아/교육,지자체 마다 다른 복지?같은나라 국민아닌가요?,2020-04-26,"1,972명"
보건복지,치과먹튀사건 없는 대한민국에서 살고싶습니다.,2020-04-26,"4,650명"
인권/성평등,n번방 조주빈 후계자 태평양 신상공개 해주세요,2020-04-26,"4,232명"
육아/교육,코로나 종식이전까지 전국적인 온라인 개학시행 및 온라인 개학 시스템 체계화를 청원 드립니다.,2020-04-26,"1,506명"
일자리,*** 하청사 노동조합 활동 금지 법안을 만들어 주세요,2020-04-26,"1,373명"
보건복지,외국인 입국금지와 입국내국민의 자가격리관리 강화,2020-04-26,"2,340명"
육아/교육,코로나로 인해 위기에 처한 장애학생들의 학습권을 보장해주십시요,2020-04-26,821명
안전/환경,해외 입국자 (교민포함) 30일 자비로 격리 후 입국허가 요청합니다.,2020-04-26,"3,391명"
기타,대구시 긴급생계자금지원 철회요청,2020-04-26,"1,987명"
성장동력,"탈원전은 전력공급불능, 미세먼지 지옥, 막대한 경제적 피해를 가져오므로 철회해 주시길 간곡히 청원합니다.",2020-04-26,995명
정치개혁,민식이법을 개정해주십시요,2020-04-26,"11,373명"
인권/성평등,트위터 일탈계.섹트계 처벌,2020-04-26,"1,207명"
인권/성평등,"여자 연예인들의 딥페이크와 합성물 수사를 넓혀주시고, 처벌을 강화 해주세요.",2020-04-26,"3,331명"
인권/성평등,청소년 성매매 또는 성착취시 청소년을 '성착취 피해자'로 보호해 주세요,2020-04-26,753명
안전/환경,플라스틱 공장에 라벨제거가 쉽게 페트병을 만들라고 해주세요,2020-04-26,"1,386명"
행정,신용회복중인 채무자들의 납입유예,2020-04-26,532명
보건복지,해외근로자에 대한 국내송환 조치,2020-04-26,543명
기타,대구경북 전가구 현금으로 지급받게 해주세요,2020-04-26,798명
육아/교육,개학연기시켜주세요,2020-04-26,"3,938명"
행정,인천광역시도 경기도 처럼 재난기본소득(1인 10만원)을 지급할 것을 청원합니다.,2020-04-26,"2,008명"
육아/교육,무리한 개학 추진보다 개학 무기한 연기를 촉구합니다.,2020-04-26,"4,466명"
기타,코로나 관련 정부지원금 누구를 위한겁니까?,2020-04-26,571명
보건복지,요양시설 종사자들 코로나 검사 제공부탁합니다.,2020-04-26,251명
일자리,택배기사님들을 도와주세요,2020-04-26,"1,043명"
성장동력,소상공.코로나19대출,2020-04-26,350명
인권/성평등,코로나 19 확진자의 인권을 보호해 주세요   확진자도 사람 입니다.,2020-04-26,"1,277명"
육아/교육,4월6일 개학 꼭 해주세요,2020-04-26,"1,127명"
교통/건축/국토,부동산 중개수수료 현실화가 꼭 필요합니다!,2020-04-26,"1,266명"
행정,"소상공인을 위한, 학원인을 위한 현실적인 대책과 대안을 간곡히 요청합니다",2020-04-26,468명
육아/교육,코로나 종식발표후 개학해주세요!!,2020-04-26,"1,981명"
육아/교육,어린이집 휴원기간동안 학부모부담금 납부에 대한 보건복지부 지침을 내려주세요.,2020-04-26,369명
일자리,**건설의 공사대금 지연지급으로 수많은 하청업체는 도산 위기에 빠져 있습니다.,2020-04-25,684명
보건복지,4월6일개학은 무리입니다.. 더 연기해주세요!!,2020-04-25,"7,428명"
일자리,방과후강사 가족 소득과 상관 없이 실질적인 지원을 해주세요.,2020-04-25,"1,199명"
외교/통일/국방,마스크  보내려고 해도 상대 국가에서 받지않는 것에 대한 외교부와 정부에서 배송될수있도록 요청해주세요,2020-04-25,382명
인권/성평등,N번방 관계자 모두 송방망이 처벌 벌금으로 대신 해서는 안됨니다,2020-04-25,"3,183명"
외교/통일/국방,입국제한 해주세요~코로나 도피처가 되가는 우리나라,2020-04-25,"16,285명"
문화/예술/체육/언론,Kbs ***아나운서 하차요구와 kbs 수신료 거부,2020-04-25,"10,745명"
교통/건축/국토,스쿨존 횡단보도에 통제 시스템같은걸 설치해주세요,2020-04-25,"1,366명"
문화/예술/체육/언론,KBS *** 아나운서의 앵커석 하차를 요청합니다.,2020-04-25,"3,989명"
