년도,광역,기초,경찰서,시구only,연령,성별,가구수
2017,전북,군산시,전북군산경찰서,군산시,61~세,남자,3882
2017,전북,군산시,전북군산경찰서,군산시,61~세,여자,8222
2017,경북,군위군,경북군위경찰서,군위군,21~30세,남자,67
2017,경북,군위군,경북군위경찰서,군위군,21~30세,여자,42
2017,경북,군위군,경북군위경찰서,군위군,31~40세,남자,105
2017,경북,군위군,경북군위경찰서,군위군,31~40세,여자,40
2017,경북,군위군,경북군위경찰서,군위군,41~50세,남자,180
2017,경북,군위군,경북군위경찰서,군위군,41~50세,여자,91
2017,경북,군위군,경북군위경찰서,군위군,51~60세,남자,435
2017,경북,군위군,경북군위경찰서,군위군,51~60세,여자,256
2017,경북,군위군,경북군위경찰서,군위군,61~세,남자,886
2017,경북,군위군,경북군위경찰서,군위군,61~세,여자,1790
2017,경기,군포시,경기군포경찰서,군포시,16~20세,남자,31
2017,경기,군포시,경기군포경찰서,군포시,16~20세,여자,41
2017,경기,군포시,경기군포경찰서,군포시,21~30세,남자,1263
2017,경기,군포시,경기군포경찰서,군포시,21~30세,여자,938
2017,경기,군포시,경기군포경찰서,군포시,31~40세,남자,2524
2017,경기,군포시,경기군포경찰서,군포시,31~40세,여자,1198
2017,경기,군포시,경기군포경찰서,군포시,41~50세,남자,2302
2017,경기,군포시,경기군포경찰서,군포시,41~50세,여자,1456
2017,경기,군포시,경기군포경찰서,군포시,51~60세,남자,1981
2017,경기,군포시,경기군포경찰서,군포시,51~60세,여자,1965
